email-match,@1password.com,simple-icon,1password,color,blue,end
email-match,.1password.com,simple-icon,1password,color,blue,end
email-match,@getadblock.com,simple-icon,adblock,color,red,end
email-match,.getadblock.com,simple-icon,adblock,color,red,end
email-match,@addthis.com,simple-icon,addthis,color,red,end
email-match,.addthis.com,simple-icon,addthis,color,red,end
email-match,@adobesystems.com,simple-icon,adobe,color,red,end
email-match,.adobesystems.com,simple-icon,adobe,color,red,end
email-match,@adobe.com,simple-icon,adobe,color,red,end
email-match,.adobe.com,simple-icon,adobe,color,red,end
email-match,@email-adoberevel.com,simple-icon,adobe,color,red,end
email-match,@ansible.com,simple-icon,ansible,color,red,end
email-match,@atari.com,simple-icon,atari,color,red,end
